USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
039620,99999,19930501,0000,+52700,-008917,+0020,280,22000,020000,+0087,+0066,10153
039620,99999,19930501,0030,+52700,-008917,+0020,300,00720,011265,+0090,+0070,99999
039620,99999,19930501,0100,+52700,-008917,+0020,270,00720,011265,+0090,+0070,99999
039620,99999,19930501,0130,+52700,-008917,+0020,270,00720,011265,+0090,+0070,99999
039620,99999,19930501,0200,+52700,-008917,+0020,260,00540,011265,+0090,+0080,99999
039620,99999,19930501,0230,+52700,-008917,+0020,250,00150,004000,+0090,+0080,99999
039620,99999,19930501,0300,+52700,-008917,+0020,240,00300,015000,+0094,+0084,10140
039620,99999,19930501,0330,+52700,-008917,+0020,320,00540,011265,+0100,+0080,99999
039620,99999,19930501,0400,+52700,-008917,+0020,320,01050,011265,+0090,+0070,99999
039620,99999,19930501,0430,+52700,-008917,+0020,330,01050,011265,+0090,+0070,99999
039620,99999,19930501,0500,+52700,-008917,+0020,320,00420,015000,+0088,+0065,10142
039620,99999,19930501,0530,+52700,-008917,+0020,320,00750,011265,+0090,+0050,99999
039620,99999,19930501,0600,+52700,-008917,+0020,320,01500,020000,+0087,+0066,10147
039620,99999,19930501,0630,+52700,-008917,+0020,320,01500,011265,+0080,+0060,99999
039620,99999,19930501,0700,+52700,-008917,+0020,320,07500,030000,+0084,+0038,10155
039620,99999,19930501,0730,+52700,-008917,+0020,330,07500,011265,+0090,+0040,99999
039620,99999,19930501,0800,+52700,-008917,+0020,330,07500,035000,+0089,+0031,10157
039620,99999,19930501,0830,+52700,-008917,+0020,330,07500,011265,+0100,+0030,99999
039620,99999,19930501,0900,+52700,-008917,+0020,320,07500,040000,+0104,+0022,10159
039620,99999,19930501,1000,+52700,-008917,+0020,320,03600,045000,+0102,+0028,10163
039620,99999,19930501,1030,+52700,-008917,+0020,310,01200,011265,+0100,+0040,99999
039620,99999,19930501,1100,+52700,-008917,+0020,310,01200,045000,+0109,+0026,10164
039620,99999,19930501,1130,+52700,-008917,+0020,330,06600,011265,+0110,+0020,99999
039620,99999,19930501,1200,+52700,-008917,+0020,320,06600,045000,+0107,+0017,10166
039620,99999,19930501,1230,+52700,-008917,+0020,320,06600,011265,+0110,+0020,99999
039620,99999,19930501,1300,+52700,-008917,+0020,320,06000,055000,+0113,+0013,10166
039620,99999,19930501,1330,+52700,-008917,+0020,320,06000,011265,+0110,+0020,99999
039620,99999,19930501,1400,+52700,-008917,+0020,320,06000,055000,+0105,+0029,10168
039620,99999,19930501,1430,+52700,-008917,+0020,320,06000,011265,+0110,+0030,99999
039620,99999,19930501,1500,+52700,-008917,+0020,310,06000,055000,+0112,+0008,10168
039620,99999,19930501,1530,+52700,-008917,+0020,300,06000,011265,+0110,+0000,99999
039620,99999,19930501,1600,+52700,-008917,+0020,320,06000,055000,+0109,+0014,10168
039620,99999,19930501,1630,+52700,-008917,+0020,310,06000,011265,+0110,+0010,99999
039620,99999,19930501,1700,+52700,-008917,+0020,310,06000,050000,+0104,+0004,10171
039620,99999,19930501,1730,+52700,-008917,+0020,300,06000,011265,+0100,-0010,99999
039620,99999,19930501,1800,+52700,-008917,+0020,300,06000,050000,+0100,-0020,10173
039620,99999,19930501,1830,+52700,-008917,+0020,300,06000,011265,+0090,-0020,99999
039620,99999,19930501,1900,+52700,-008917,+0020,310,22000,050000,+0086,+0019,10175
039620,99999,19930501,1930,+52700,-008917,+0020,300,22000,011265,+0080,+0020,99999
039620,99999,19930501,2000,+52700,-008917,+0020,310,22000,040000,+0079,+0004,10180
039620,99999,19930501,2100,+52700,-008917,+0020,300,22000,040000,+0062,+0008,10184
039620,99999,19930501,2130,+52700,-008917,+0020,290,22000,011265,+0060,+0010,99999
039620,99999,19930501,2200,+52700,-008917,+0020,300,22000,040000,+0052,+0008,10187
039620,99999,19930501,2230,+52700,-008917,+0020,999,99999,009900,+0050,+0020,99999
039620,99999,19930501,2300,+52700,-008917,+0020,050,22000,040000,+0051,+0007,10190
039620,99999,19930501,2330,+52700,-008917,+0020,310,99999,009900,+0050,+0000,99999
039620,99999,19930502,0000,+52700,-008917,+0020,320,22000,040000,+0051,+0004,10191
039620,99999,19930502,0030,+52700,-008917,+0020,320,99999,009900,+0040,+0010,99999
039620,99999,19930502,0100,+52700,-008917,+0020,320,22000,040000,+0043,+0012,10190
039620,99999,19930502,0130,+52700,-008917,+0020,330,22000,011265,+0040,+0010,99999
039620,99999,19930502,0200,+52700,-008917,+0020,999,22000,040000,+0035,+0012,10191
039620,99999,19930502,0230,+52700,-008917,+0020,290,22000,011265,+0040,+0010,99999
039620,99999,19930502,0300,+52700,-008917,+0020,340,22000,040000,+0040,+0008,10189
039620,99999,19930502,0330,+52700,-008917,+0020,040,22000,011265,+0040,+0010,99999
039620,99999,19930502,0400,+52700,-008917,+0020,050,22000,040000,+0029,+0008,10190
039620,99999,19930502,0430,+52700,-008917,+0020,060,22000,011265,+0030,+0010,99999
039620,99999,19930502,0500,+52700,-008917,+0020,170,22000,040000,+0024,+0005,10191
039620,99999,19930502,0530,+52700,-008917,+0020,030,22000,011265,+0020,+0000,99999
039620,99999,19930502,0600,+52700,-008917,+0020,050,22000,040000,+0018,-0001,10197
039620,99999,19930502,0630,+52700,-008917,+0020,150,22000,011265,+0030,+0010,99999
