USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
712230,99999,20180101,0000,+51933,-110700,+0772,120,99999,999999,-0264,-0296,99999
712230,99999,20180101,0000,+51930,-110720,+0772,120,99999,999999,-0264,-0296,99999
712230,99999,20180101,0100,+51930,-110720,+0772,110,99999,999999,-0273,-0306,99999
712230,99999,20180101,0200,+51930,-110720,+0772,120,99999,999999,-0274,-0306,99999
712230,99999,20180101,0300,+51933,-110700,+0772,090,99999,999999,-0283,-0319,99999
712230,99999,20180101,0300,+51930,-110720,+0772,090,99999,999999,-0283,-0319,99999
712230,99999,20180101,0400,+51930,-110720,+0772,110,99999,999999,-0286,-0321,99999
712230,99999,20180101,0500,+51930,-110720,+0772,130,99999,999999,-0282,-0317,99999
712230,99999,20180101,0600,+51933,-110700,+0772,120,99999,999999,-0281,-0315,99999
712230,99999,20180101,0600,+51930,-110720,+0772,120,99999,999999,-0281,-0315,99999
712230,99999,20180101,0700,+51930,-110720,+0772,210,99999,999999,-0292,-0329,99999
712230,99999,20180101,0800,+51930,-110720,+0772,220,99999,999999,-0293,-0328,99999
712230,99999,20180101,0900,+51933,-110700,+0772,260,99999,999999,-0299,-0336,99999
712230,99999,20180101,0900,+51930,-110720,+0772,260,99999,999999,-0299,-0336,99999
712230,99999,20180101,1000,+51930,-110720,+0772,230,99999,999999,-0292,-0328,99999
712230,99999,20180101,1100,+51930,-110720,+0772,230,99999,999999,-0292,-0327,99999
712230,99999,20180101,1200,+51933,-110700,+0772,230,99999,999999,-0297,-0333,99999
712230,99999,20180101,1200,+51930,-110720,+0772,230,99999,999999,-0297,-0333,99999
712230,99999,20180101,1300,+51930,-110720,+0772,220,99999,999999,-0306,-0344,99999
712230,99999,20180101,1400,+51930,-110720,+0772,230,99999,999999,-0287,-0322,99999
712230,99999,20180101,1500,+51933,-110700,+0772,220,99999,999999,-0307,-0344,99999
712230,99999,20180101,1500,+51930,-110720,+0772,220,99999,999999,-0307,-0344,99999
712230,99999,20180101,1600,+51930,-110720,+0772,230,99999,999999,-0286,-0320,99999
712230,99999,20180101,1700,+51930,-110720,+0772,220,99999,999999,-0279,-0314,99999
712230,99999,20180101,1800,+51933,-110700,+0772,220,99999,999999,-0273,-0308,99999
712230,99999,20180101,1800,+51930,-110720,+0772,220,99999,999999,-0273,-0308,99999
712230,99999,20180101,1900,+51930,-110720,+0772,220,99999,999999,-0262,-0296,99999
712230,99999,20180101,2000,+51930,-110720,+0772,230,99999,999999,-0259,-0294,99999
712230,99999,20180101,2100,+51933,-110700,+0772,220,99999,999999,-0245,-0282,99999
712230,99999,20180101,2100,+51930,-110720,+0772,220,99999,999999,-0245,-0282,99999
712230,99999,20180101,2200,+51930,-110720,+0772,220,99999,999999,-0242,-0280,99999
712230,99999,20180101,2300,+51930,-110720,+0772,220,99999,999999,-0252,-0290,99999
712230,99999,20180102,0000,+51933,-110700,+0772,230,99999,999999,-0262,-0297,99999
712230,99999,20180102,0000,+51930,-110720,+0772,230,99999,999999,-0262,-0297,99999
712230,99999,20180102,0100,+51930,-110720,+0772,230,99999,999999,-0252,-0286,99999
712230,99999,20180102,0200,+51930,-110720,+0772,230,99999,999999,-0245,-0289,99999
712230,99999,20180102,0300,+51933,-110700,+0772,220,99999,999999,-0238,-0271,99999
712230,99999,20180102,0300,+51930,-110720,+0772,220,99999,999999,-0238,-0271,99999
712230,99999,20180102,0400,+51930,-110720,+0772,230,99999,999999,-0215,-0257,99999
712230,99999,20180102,0500,+51930,-110720,+0772,230,99999,999999,-0210,-0235,99999
712230,99999,20180102,0600,+51933,-110700,+0772,270,99999,999999,-0130,-0180,99999
712230,99999,20180102,0600,+51930,-110720,+0772,270,99999,999999,-0130,-0180,99999
712230,99999,20180102,0700,+51930,-110720,+0772,260,99999,999999,-0146,-0186,99999
712230,99999,20180102,0800,+51930,-110720,+0772,260,99999,999999,-0134,-0151,99999
712230,99999,20180102,0900,+51933,-110700,+0772,270,99999,999999,-0102,-0140,99999
712230,99999,20180102,0900,+51930,-110720,+0772,270,99999,999999,-0102,-0140,99999
712230,99999,20180102,1000,+51930,-110720,+0772,290,99999,999999,-0085,-0132,99999
712230,99999,20180102,1100,+51930,-110720,+0772,280,99999,999999,-0065,-0106,99999
712230,99999,20180102,1200,+51933,-110700,+0772,280,99999,999999,-0071,-0105,99999
712230,99999,20180102,1200,+51930,-110720,+0772,280,99999,999999,-0071,-0095,99999
712230,99999,20180102,1300,+51930,-110720,+0772,280,99999,999999,-0076,-0106,99999
712230,99999,20180102,1400,+51930,-110720,+0772,300,99999,999999,-0080,-0104,99999
712230,99999,20180102,1500,+51933,-110700,+0772,290,99999,999999,-0060,-0085,99999
712230,99999,20180102,1500,+51930,-110720,+0772,290,99999,999999,-0060,-0075,99999
712230,99999,20180102,1600,+51930,-110720,+0772,290,99999,999999,-0062,-0084,99999
712230,99999,20180102,1700,+51930,-110720,+0772,290,99999,999999,-0048,-0074,99999
712230,99999,20180102,1800,+51933,-110700,+0772,290,99999,999999,-0037,-0067,99999
712230,99999,20180102,1800,+51930,-110720,+0772,290,99999,999999,-0037,-0067,99999
712230,99999,20180102,1900,+51930,-110720,+0772,280,99999,999999,-0035,-0067,99999
712230,99999,20180102,2000,+51930,-110720,+0772,270,99999,999999,-0032,-0063,99999
712230,99999,20180102,2100,+51933,-110700,+0772,280,99999,999999,-0034,-0065,99999
712230,99999,20180102,2100,+51930,-110720,+0772,280,99999,999999,-0034,-0055,99999
712230,99999,20180102,2200,+51930,-110720,+0772,280,99999,999999,-0027,-0058,99999
712230,99999,20180102,2300,+51930,-110720,+0772,280,99999,999999,-0032,-0060,99999
712230,99999,20180103,0000,+51933,-110700,+0772,280,99999,999999,-0048,-0067,99999
712230,99999,20180103,0000,+51930,-110720,+0772,280,99999,999999,-0048,-0067,99999
712230,99999,20180103,0100,+51930,-110720,+0772,280,99999,999999,-0061,-0082,99999
712230,99999,20180103,0200,+51930,-110720,+0772,250,99999,999999,-0087,-0102,99999
712230,99999,20180103,0300,+51933,-110700,+0772,250,99999,999999,-0086,-0099,99999
712230,99999,20180103,0300,+51930,-110720,+0772,250,99999,999999,-0086,-0099,99999
712230,99999,20180103,0400,+51930,-110720,+0772,230,99999,999999,-0091,-0102,99999
712230,99999,20180103,0500,+51930,-110720,+0772,250,99999,999999,-0075,-0086,99999
712230,99999,20180103,0600,+51933,-110700,+0772,250,99999,999999,-0089,-0104,99999
712230,99999,20180103,0600,+51930,-110720,+0772,250,99999,999999,-0088,-0104,99999
712230,99999,20180103,0700,+51930,-110720,+0772,240,99999,999999,-0075,-0097,99999
712230,99999,20180103,0800,+51930,-110720,+0772,230,99999,999999,-0088,-0110,99999
712230,99999,20180103,0900,+51933,-110700,+0772,280,99999,999999,-0099,-0121,99999
712230,99999,20180103,0900,+51930,-110720,+0772,280,99999,999999,-0098,-0121,99999
712230,99999,20180103,1000,+51930,-110720,+0772,290,99999,999999,-0079,-0101,99999
712230,99999,20180103,1100,+51930,-110720,+0772,260,99999,999999,-0077,-0098,99999
712230,99999,20180103,1200,+51933,-110700,+0772,260,99999,999999,-0092,-0107,99999
712230,99999,20180103,1200,+51930,-110720,+0772,260,99999,999999,-0092,-0107,99999
712230,99999,20180103,1300,+51930,-110720,+0772,050,99999,999999,-0083,-0110,99999
712230,99999,20180103,1400,+51930,-110720,+0772,270,99999,999999,-0113,-0126,99999
712230,99999,20180103,1500,+51933,-110700,+0772,310,99999,999999,-0078,-0096,99999
712230,99999,20180103,1500,+51930,-110720,+0772,310,99999,999999,-0078,-0096,99999
712230,99999,20180103,1600,+51930,-110720,+0772,290,99999,999999,-0071,-0089,99999
712230,99999,20180103,1700,+51930,-110720,+0772,270,99999,999999,-0075,-0102,99999
712230,99999,20180103,1800,+51933,-110700,+0772,260,99999,999999,-0056,-0083,99999
712230,99999,20180103,1800,+51930,-110720,+0772,260,99999,999999,-0056,-0083,99999
712230,99999,20180103,1900,+51930,-110720,+0772,290,99999,999999,-0023,-0055,99999
712230,99999,20180103,2000,+51930,-110720,+0772,280,99999,999999,+0002,-0044,99999
712230,99999,20180103,2100,+51933,-110700,+0772,290,99999,999999,-0004,-0047,99999
712230,99999,20180103,2100,+51930,-110720,+0772,290,99999,999999,-0004,-0047,99999
712230,99999,20180104,0000,+51933,-110700,+0772,290,99999,999999,-0052,-0077,99999
712230,99999,20180104,0000,+51930,-110720,+0772,290,99999,999999,-0052,-0077,99999
712230,99999,20180104,0100,+51930,-110720,+0772,260,99999,999999,-0050,-0072,99999
712230,99999,20180104,0200,+51930,-110720,+0772,270,99999,999999,-0067,-0075,99999
712230,99999,20180104,0300,+51933,-110700,+0772,250,99999,999999,-0068,-0087,99999
712230,99999,20180104,0300,+51930,-110720,+0772,250,99999,999999,-0068,-0087,99999
712230,99999,20180104,0400,+51930,-110720,+0772,270,99999,999999,-0069,-0088,99999
712230,99999,20180104,0500,+51930,-110720,+0772,260,99999,999999,-0056,-0078,99999
712230,99999,20180104,0600,+51933,-110700,+0772,250,99999,999999,-0103,-0121,99999
712230,99999,20180104,0600,+51930,-110720,+0772,250,99999,999999,-0103,-0121,99999
712230,99999,20180104,0700,+51930,-110720,+0772,280,99999,999999,-0073,-0095,99999
712230,99999,20180104,0800,+51930,-110720,+0772,270,99999,999999,-0079,-0098,99999
712230,99999,20180104,0900,+51933,-110700,+0772,280,99999,999999,-0065,-0088,99999
712230,99999,20180104,0900,+51930,-110720,+0772,280,99999,999999,-0065,-0088,99999
712230,99999,20180104,1000,+51930,-110720,+0772,270,99999,999999,-0064,-0095,99999
712230,99999,20180104,1100,+51930,-110720,+0772,250,99999,999999,-0098,-0115,99999
712230,99999,20180104,1200,+51933,-110700,+0772,230,99999,999999,-0110,-0125,99999
712230,99999,20180104,1200,+51930,-110720,+0772,230,99999,999999,-0109,-0115,99999
712230,99999,20180104,1300,+51930,-110720,+0772,260,99999,999999,-0079,-0098,99999
712230,99999,20180104,1400,+51930,-110720,+0772,290,99999,999999,-0079,-0101,99999
712230,99999,20180104,1500,+51933,-110700,+0772,280,99999,999999,-0040,-0073,99999
712230,99999,20180104,1500,+51930,-110720,+0772,280,99999,999999,-0040,-0073,99999
712230,99999,20180104,1600,+51930,-110720,+0772,300,99999,999999,-0057,-0090,99999
712230,99999,20180104,1700,+51930,-110720,+0772,230,99999,999999,-0064,-0096,99999
