USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
39620,99999,2023-01-01,00:00,52.7,-8.917,20,150,30,600,5.0,4.7,995.1
39620,99999,2023-01-01,00:00,52.702,-8.925,14,150,30,600,5.0,5.0,9999.9
39620,99999,2023-01-01,00:30,52.702,-8.925,14,160,30,300,5.0,4.0,9999.9
39620,99999,2023-01-01,01:00,52.7,-8.917,20,230,30,400,4.4,4.0,995.8
39620,99999,2023-01-01,01:00,52.702,-8.925,14,999,30,400,4.0,4.0,9999.9
39620,99999,2023-01-01,01:30,52.702,-8.925,14,130,30,600,4.0,4.0,9999.9
39620,99999,2023-01-01,02:00,52.7,-8.917,20,120,1200,8000,4.2,3.9,995.8
39620,99999,2023-01-01,02:00,52.702,-8.925,14,120,1219,8000,4.0,4.0,9999.9
39620,99999,2023-01-01,02:30,52.702,-8.925,14,160,1219,9999,4.0,4.0,9999.9
39620,99999,2023-01-01,03:00,52.7,-8.917,20,150,1500,14000,3.9,3.4,996.1
39620,99999,2023-01-01,03:00,52.702,-8.925,14,150,792,9999,4.0,3.0,9999.9
39620,99999,2023-01-01,03:30,52.702,-8.925,14,160,1067,9999,4.0,4.0,9999.9
39620,99999,2023-01-01,04:00,52.7,-8.917,20,120,900,20000,4.6,4.1,996.1
39620,99999,2023-01-01,04:00,52.702,-8.925,14,120,914,9999,5.0,4.0,9999.9
39620,99999,2023-01-01,04:30,52.702,-8.925,14,120,914,9999,5.0,4.0,9999.9
39620,99999,2023-01-01,05:00,52.7,-8.917,20,110,1140,12000,4.7,4.1,996.1
39620,99999,2023-01-01,05:00,52.702,-8.925,14,110,1158,9999,5.0,4.0,9999.9
39620,99999,2023-01-01,05:30,52.702,-8.925,14,30,1158,9999,5.0,4.0,9999.9
39620,99999,2023-01-01,06:00,52.7,-8.917,20,360,960,20000,4.5,4.1,996.4
39620,99999,2023-01-01,06:00,52.702,-8.925,14,360,975,9999,5.0,4.0,9999.9
39620,99999,2023-01-01,06:30,52.702,-8.925,14,360,975,9000,5.0,4.0,9999.9
39620,99999,2023-01-01,07:00,52.7,-8.917,20,999,720,6000,4.5,4.0,997.4
39620,99999,2023-01-01,07:00,52.702,-8.925,14,999,549,6000,5.0,4.0,9999.9
39620,99999,2023-01-01,07:30,52.702,-8.925,14,110,884,9999,5.0,4.0,9999.9
39620,99999,2023-01-01,08:00,52.7,-8.917,20,150,720,6000,4.9,4.6,998.0
39620,99999,2023-01-01,08:00,52.702,-8.925,14,150,732,6000,5.0,5.0,9999.9
39620,99999,2023-01-01,08:30,52.702,-8.925,14,180,945,9999,5.0,5.0,9999.9
39620,99999,2023-01-01,09:00,52.7,-8.917,20,260,360,7000,4.7,4.1,998.8
39620,99999,2023-01-01,09:00,52.702,-8.925,14,999,366,7000,5.0,4.0,9999.9
39620,99999,2023-01-01,09:30,52.702,-8.925,14,240,152,7000,5.0,5.0,9999.9
39620,99999,2023-01-01,10:00,52.7,-8.917,20,210,270,7000,5.2,4.7,1000.1
39620,99999,2023-01-01,10:00,52.702,-8.925,14,210,274,7000,5.0,5.0,9999.9
39620,99999,2023-01-01,10:30,52.702,-8.925,14,230,305,9999,6.0,5.0,9999.9
39620,99999,2023-01-01,11:00,52.7,-8.917,20,250,300,16000,5.7,5.3,1001.0
39620,99999,2023-01-01,11:00,52.702,-8.925,14,250,305,9999,6.0,5.0,9999.9
39620,99999,2023-01-01,11:30,52.702,-8.925,14,220,274,9999,6.0,6.0,9999.9
39620,99999,2023-01-01,12:00,52.7,-8.917,20,220,240,14000,6.1,5.5,1001.5
39620,99999,2023-01-01,12:00,52.702,-8.925,14,220,244,9999,6.0,6.0,9999.9
39620,99999,2023-01-01,12:30,52.702,-8.925,14,220,762,9999,6.0,6.0,9999.9
39620,99999,2023-01-01,13:00,52.7,-8.917,20,260,22000,16000,6.7,5.3,1001.7
39620,99999,2023-01-01,13:00,52.702,-8.925,14,260,2438,9999,7.0,5.0,9999.9
39620,99999,2023-01-01,13:30,52.702,-8.925,14,260,2743,9999,7.0,6.0,9999.9
39620,99999,2023-01-01,14:00,52.7,-8.917,20,230,3300,30000,7.0,5.3,1002.5
39620,99999,2023-01-01,14:00,52.702,-8.925,14,230,3353,9999,7.0,5.0,9999.9
39620,99999,2023-01-01,14:30,52.702,-8.925,14,220,3353,9999,7.0,5.0,9999.9
39620,99999,2023-01-01,15:00,52.7,-8.917,20,210,3300,25000,7.1,5.5,1002.9
39620,99999,2023-01-01,15:00,52.702,-8.925,14,210,3353,9999,7.0,6.0,9999.9
39620,99999,2023-01-01,15:30,52.702,-8.925,14,230,549,9999,7.0,5.0,9999.9
39620,99999,2023-01-01,16:00,52.7,-8.917,20,310,450,18000,6.4,4.7,1003.6
39620,99999,2023-01-01,16:00,52.702,-8.925,14,310,457,9999,6.0,5.0,9999.9
39620,99999,2023-01-01,16:30,52.702,-8.925,14,310,1829,9999,5.0,3.0,9999.9
39620,99999,2023-01-01,17:00,52.7,-8.917,20,280,22000,25000,4.0,2.5,1004.3
39620,99999,2023-01-01,17:00,52.702,-8.925,14,280,99999,9999,4.0,3.0,9999.9
39620,99999,2023-01-01,17:30,52.702,-8.925,14,280,99999,9999,3.0,2.0,9999.9
39620,99999,2023-01-01,18:00,52.7,-8.917,20,290,22000,20000,2.9,1.9,1005.1
39620,99999,2023-01-01,18:00,52.702,-8.925,14,290,99999,9999,3.0,2.0,9999.9
39620,99999,2023-01-01,18:30,52.702,-8.925,14,290,1006,9999,3.0,2.0,9999.9
39620,99999,2023-01-01,19:00,52.7,-8.917,20,260,22000,20000,2.5,1.7,1006.1
39620,99999,2023-01-01,19:00,52.702,-8.925,14,260,99999,9999,3.0,2.0,9999.9
39620,99999,2023-01-01,19:30,52.702,-8.925,14,260,99999,9999,3.0,3.0,9999.9
39620,99999,2023-01-01,20:00,52.7,-8.917,20,250,22000,20000,3.3,2.3,1007.1
39620,99999,2023-01-01,20:00,52.702,-8.925,14,250,99999,9999,3.0,2.0,9999.9
39620,99999,2023-01-01,20:30,52.702,-8.925,14,270,99999,9999,3.0,2.0,9999.9
39620,99999,2023-01-01,21:00,52.7,-8.917,20,280,99999,20000,2.7,1.8,1008.0
39620,99999,2023-01-01,21:00,52.702,-8.925,14,280,99999,9900,3.0,2.0,9999.9
39620,99999,2023-01-01,21:30,52.702,-8.925,14,260,99999,9900,2.0,1.0,9999.9
39620,99999,2023-01-01,22:00,52.7,-8.917,20,260,99999,20000,1.7,1.0,1009.3
39620,99999,2023-01-01,22:00,52.702,-8.925,14,260,99999,9900,2.0,1.0,9999.9
39620,99999,2023-01-01,22:30,52.702,-8.925,14,260,99999,9900,2.0,2.0,9999.9
39620,99999,2023-01-01,23:00,52.7,-8.917,20,320,99999,20000,2.6,1.8,1009.9
39620,99999,2023-01-01,23:00,52.702,-8.925,14,320,99999,9900,3.0,2.0,9999.9
39620,99999,2023-01-01,23:30,52.702,-8.925,14,290,99999,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,00:00,52.7,-8.917,20,310,22000,20000,1.3,0.7,1010.6
39620,99999,2023-01-02,00:00,52.702,-8.925,14,310,99999,9999,1.0,1.0,9999.9
39620,99999,2023-01-02,00:30,52.702,-8.925,14,170,99999,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,01:00,52.7,-8.917,20,220,22000,20000,0.6,0.1,1011.0
39620,99999,2023-01-02,01:00,52.702,-8.925,14,220,99999,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,01:30,52.702,-8.925,14,60,1524,9999,1.0,1.0,9999.9
39620,99999,2023-01-02,02:00,52.7,-8.917,20,90,1500,18000,0.7,0.1,1011.6
39620,99999,2023-01-02,02:00,52.702,-8.925,14,90,1524,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,02:30,52.702,-8.925,14,999,1524,9999,0.0,0.0,9999.9
39620,99999,2023-01-02,03:00,52.7,-8.917,20,60,1500,18000,0.5,-0.1,1012.5
39620,99999,2023-01-02,03:00,52.702,-8.925,14,60,1524,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,03:30,52.702,-8.925,14,100,1524,9999,0.0,0.0,9999.9
39620,99999,2023-01-02,04:00,52.7,-8.917,20,110,22000,16000,0.3,0.0,1013.0
39620,99999,2023-01-02,04:00,52.702,-8.925,14,110,99999,9999,0.0,0.0,9999.9
39620,99999,2023-01-02,04:30,52.702,-8.925,14,100,99999,9999,0.0,0.0,9999.9
39620,99999,2023-01-02,05:00,52.7,-8.917,20,140,22000,800,-0.4,-0.6,1013.3
39620,99999,2023-01-02,05:00,52.702,-8.925,14,140,99999,800,0.0,-1.0,9999.9
39620,99999,2023-01-02,05:30,52.702,-8.925,14,110,30,300,0.0,0.0,9999.9
39620,99999,2023-01-02,06:00,52.7,-8.917,20,110,60,500,0.7,0.5,1014.0
39620,99999,2023-01-02,06:00,52.702,-8.925,14,110,61,500,1.0,1.0,9999.9
39620,99999,2023-01-02,06:30,52.702,-8.925,14,100,152,2000,0.0,0.0,9999.9
39620,99999,2023-01-02,07:00,52.7,-8.917,20,110,22000,2500,0.3,0.1,1014.6
39620,99999,2023-01-02,07:00,52.702,-8.925,14,110,99999,2500,0.0,0.0,9999.9
39620,99999,2023-01-02,07:30,52.702,-8.925,14,130,99999,3500,0.0,0.0,9999.9
39620,99999,2023-01-02,08:00,52.7,-8.917,20,130,22000,4000,0.0,-0.4,1015.1
39620,99999,2023-01-02,08:00,52.702,-8.925,14,130,99999,4000,0.0,0.0,9999.9
39620,99999,2023-01-02,08:30,52.702,-8.925,14,120,99999,3000,0.0,-1.0,9999.9
39620,99999,2023-01-02,09:00,52.7,-8.917,20,120,22000,900,-0.6,-1.0,1015.9
39620,99999,2023-01-02,09:00,52.702,-8.925,14,120,99999,900,-1.0,-1.0,9999.9
39620,99999,2023-01-02,09:30,52.702,-8.925,14,120,99999,8000,-1.0,-1.0,9999.9
39620,99999,2023-01-02,10:00,52.7,-8.917,20,120,22000,15000,0.1,-0.6,1016.5
39620,99999,2023-01-02,10:00,52.702,-8.925,14,120,99999,9999,0.0,-1.0,9999.9
39620,99999,2023-01-02,10:30,52.702,-8.925,14,130,99999,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,11:00,52.7,-8.917,20,130,22000,30000,1.3,-0.2,1017.0
39620,99999,2023-01-02,11:00,52.702,-8.925,14,130,99999,9999,1.0,0.0,9999.9
39620,99999,2023-01-02,11:30,52.702,-8.925,14,120,99999,9999,2.0,0.0,9999.9
39620,99999,2023-01-02,12:00,52.7,-8.917,20,130,22000,30000,2.3,0.3,1016.8
39620,99999,2023-01-02,12:00,52.702,-8.925,14,130,99999,9999,2.0,0.0,9999.9
39620,99999,2023-01-02,12:30,52.702,-8.925,14,120,99999,9999,3.0,1.0,9999.9
39620,99999,2023-01-02,13:00,52.7,-8.917,20,120,22000,30000,3.7,1.3,1016.4
39620,99999,2023-01-02,13:00,52.702,-8.925,14,120,99999,9999,4.0,1.0,9999.9
39620,99999,2023-01-02,13:30,52.702,-8.925,14,130,99999,9999,5.0,2.0,9999.9
39620,99999,2023-01-02,14:00,52.7,-8.917,20,130,22000,35000,5.7,2.4,1015.9
39620,99999,2023-01-02,14:00,52.702,-8.925,14,130,99999,9999,6.0,2.0,9999.9
39620,99999,2023-01-02,14:30,52.702,-8.925,14,120,99999,9999,6.0,2.0,9999.9
39620,99999,2023-01-02,15:00,52.7,-8.917,20,130,22000,35000,5.9,1.6,1015.3
39620,99999,2023-01-02,15:00,52.702,-8.925,14,130,99999,9999,6.0,2.0,9999.9
39620,99999,2023-01-02,15:30,52.702,-8.925,14,120,99999,9999,6.0,2.0,9999.9
39620,99999,2023-01-02,16:00,52.7,-8.917,20,140,22000,30000,5.6,1.8,1015.0
39620,99999,2023-01-02,16:00,52.702,-8.925,14,140,99999,9999,6.0,2.0,9999.9
39620,99999,2023-01-02,16:30,52.702,-8.925,14,130,99999,9999,5.0,2.0,9999.9
39620,99999,2023-01-02,17:00,52.7,-8.917,20,120,22000,30000,4.5,1.6,1014.6
39620,99999,2023-01-02,17:00,52.702,-8.925,14,120,99999,9999,5.0,2.0,9999.9
39620,99999,2023-01-02,17:30,52.702,-8.925,14,120,99999,9999,3.0,1.0,9999.9
39620,99999,2023-01-02,18:00,52.7,-8.917,20,120,22000,20000,3.7,1.6,1014.3
39620,99999,2023-01-02,18:00,52.702,-8.925,14,120,99999,9999,4.0,2.0,9999.9
39620,99999,2023-01-02,18:30,52.702,-8.925,14,120,99999,9999,4.0,2.0,9999.9
39620,99999,2023-01-02,19:00,52.7,-8.917,20,120,22000,20000,4.4,1.7,1013.3
39620,99999,2023-01-02,19:00,52.702,-8.925,14,120,99999,9999,4.0,2.0,9999.9
39620,99999,2023-01-02,19:30,52.702,-8.925,14,110,99999,9999,4.0,2.0,9999.9
39620,99999,2023-01-02,20:00,52.7,-8.917,20,120,22000,20000,4.4,2.0,1012.5
39620,99999,2023-01-02,20:00,52.702,-8.925,14,120,99999,9999,4.0,2.0,9999.9
39620,99999,2023-01-02,20:30,52.702,-8.925,14,120,99999,9999,5.0,3.0,9999.9
39620,99999,2023-01-02,21:00,52.7,-8.917,20,130,900,20000,5.9,3.2,1011.7
39620,99999,2023-01-02,21:00,52.702,-8.925,14,130,914,9999,6.0,3.0,9999.9
39620,99999,2023-01-02,21:30,52.702,-8.925,14,150,884,9999,7.0,4.0,9999.9
39620,99999,2023-01-02,22:00,52.7,-8.917,20,140,810,20000,6.8,4.2,1010.4
39620,99999,2023-01-02,22:00,52.702,-8.925,14,140,823,9999,7.0,4.0,9999.9
39620,99999,2023-01-02,22:30,52.702,-8.925,14,130,1067,9999,7.0,5.0,9999.9
39620,99999,2023-01-02,23:00,52.7,-8.917,20,140,1800,20000,8.3,5.7,1008.5
39620,99999,2023-01-02,23:00,52.702,-8.925,14,140,1829,9999,8.0,6.0,9999.9
39620,99999,2023-01-02,23:30,52.702,-8.925,14,150,1524,9999,9.0,6.0,9999.9
39620,99999,2023-01-03,00:00,52.7,-8.917,20,150,1800,8000,8.8,6.6,1007.0
